partidos
25-07-2021 U.N.A.M. - Pumas 0 - 0 Atlas
01-08-2021 Atlas 2 - 0 FC Juarez
10-08-2021 Pachuca 0 - 1 Atlas
15-08-2021 Atlas 0 - 1 Club America
19-08-2021 Santos Laguna 1 - 1 Atlas
21-08-2021 Atlas 0 - 0 Toluca
29-08-2021 Tigres UANL 1 - 1 Atlas
11-09-2021 Atlas 2 - 1 Monterrey
18-09-2021 Necaxa 0 - 3 Atlas
25-09-2021 Atlas 2 - 0 Leon
29-09-2021 Atlas 0 - 1 Puebla
03-10-2021 Guadalajara Chivas 0 - 1 Atlas
16-10-2021 Mazatlán 1 - 0 Atlas
20-10-2021 Atlas 0 - 0 Cruz Azul
25-10-2021 Atletico San Luis 2 - 6 Atlas
29-10-2021 Atlas 0 - 2 Club Tijuana
05-11-2021 Atlas 2 - 0 Club Queretaro
25-11-2021 Monterrey 0 - 0 Atlas
28-11-2021 Atlas 1 - 1 Monterrey
03-12-2021 U.N.A.M. - Pumas 0 - 1 Atlas
06-12-2021 Atlas 0 - 1 U.N.A.M. - Pumas
10-12-2021 Leon 3 - 2 Atlas
25-07-2021 Guadalajara Chivas 1 - 2 Atletico San Luis
03-08-2021 Atletico San Luis 1 - 1 Club Queretaro
08-08-2021 U.N.A.M. - Pumas 1 - 3 Atletico San Luis
13-08-2021 Atletico San Luis 0 - 2 Necaxa
22-08-2021 Atletico San Luis 0 - 0 Cruz Azul
28-08-2021 Mazatlán 2 - 2 Atletico San Luis
11-09-2021 Puebla 2 - 2 Atletico San Luis
17-09-2021 Atletico San Luis 4 - 1 Club Tijuana
22-09-2021 FC Juarez 1 - 0 Atletico San Luis
26-09-2021 Toluca 1 - 2 Atletico San Luis
29-09-2021 Atletico San Luis 0 - 3 Tigres UANL
02-10-2021 Leon 0 - 0 Atletico San Luis
17-10-2021 Atletico San Luis 0 - 1 Club America
25-10-2021 Atletico San Luis 2 - 6 Atlas
01-11-2021 Atletico San Luis 1 - 1 Monterrey
04-11-2021 Pachuca 0 - 0 Atletico San Luis
08-11-2021 Santos Laguna 0 - 0 Atletico San Luis
21-11-2021 Santos Laguna 2 - 0 Atletico San Luis
23-07-2021 Club Queretaro 0 - 0 Club America
01-08-2021 Club America 2 - 1 Necaxa
08-08-2021 Club America 2 - 0 Puebla
15-08-2021 Atlas 0 - 1 Club America
19-08-2021 FC Juarez 1 - 2 Club America
22-08-2021 Club America 2 - 0 Club Tijuana
29-08-2021 Leon 1 - 1 Club America
12-09-2021 Club America 2 - 0 Mazatlán
19-09-2021 Toluca 3 - 1 Club America
26-09-2021 Club America 0 - 0 Guadalajara Chivas
